occurred_at_iso,type,severity,title,description,lat,lng,source_name,source_url
2026-09-15T00:31:00.000Z,ship_incident,medium,Two-way daytime tanker traffic spotted in Strait of Hormuz,,,,breakingthenews.net,https://news.google.com/rss/articles/CBMipgFBVV95cUxNQ3lQY25pdG5DeUtKamhqZzJuVDZvTnJtM3p0TVgyeHgzbXd0V09td1h4UDdCLU90SGFBZTlKX1FGSGlUa2kteFMzc1d1Vkhvd0M4N0tXeFlEbi0wLTdDNS1jUGZ4VXJtb2tSUEVCbk1OQWlpUEQxQ3hwb1ZxTS1sR3lPU3lXeXk3OVRlenBuNGtLSXJzTENlUm5JYVBDSW5TUy0tVUdn?oc=5
2026-09-15T01:14:28.000Z,negotiation,low,Video: LIVE: Strait of Hormuz traffic amid postponed talks and jump in oil prices,,,,livetube.tv,https://news.google.com/rss/articles/CBMirwFBVV95cUxQZjA0MjJhRFNqd3pxYjcwQ2hjaVBVY05VU2dqN29wV1Rqa1U4cDdBRkNSb0JTNUQ0SFV6RzNyZkptVmRBV2FNekc4bHBMMzhYZWEzMXdiZkNiQUp3UUNfaVlyczFHSU1ibzAzNmZsWnpSYldtMGY2VlFMOW9lc0w1Tzk0Z0szUEo4NXBMQmlzUEhTSXFKMTB2c0FYX2ptMFNvMk82SzRhZnNXaGUxVlJF?oc=5
2026-09-15T02:18:17.000Z,strike,medium,"Iran live updates: Oil prices rise after strikes in Saudi Arabia, Strait of Hormuz",,,,abc23.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxNTEVRMVE5d2Y4UGY2UG8xQmRmNjhhZzd4Z1J6ZTdaLWVsM0hVNmxwQnNDNVNxWTN3OUhIandoeXRLeE45V1d3dGZuamwzVEVtX3p2Vm5FRkNVM3drNU9tSUxvNkFhX2o0SEdUbW5qamZSUnJaZ0Y1T2t0VmdwWDIxbjVlVnNDRnA3Zk9CTmxhOG9fRkZvejNDclNJN0E3dzFxeGJUdGZB?oc=5
2026-09-15T02:38:54.000Z,ship_incident,medium,Tensions Surge as Strait of Hormuz Sees Drop in Shipping Traffic,,,,Devdiscourse,https://news.google.com/rss/articles/CBMiugFBVV95cUxNdG55M3dkRHhYUVJhaDVDdEF0QURNVkJ5SHloRVZHN3RMdWRsUHRRY0Q4U0ZrMVNvTzJRWE93dTMxV1FJQ1NNSjhMOGRCQ2RoclhrZ2EwVUp6YTZsR3oyYjVsakNHWERUVFlXMnNQUHV3a3doYVR6VDB5WXNQYUZSTW9CaFNWbU9mcEl6c2djZ0hwMEV3TjdCRnlobkFpbUpkMEUxS1ZqQzZCdWJsdjRQcDlrTzRNbVNkOEHSAb8BQVVfeXFMTVAyNU1rcUNwMnNNQnZXWXN6aUlqOERKWVJnUjliUjRCb1NLcUJXWmE4WWVFNFFBZjZLaEd4U0FQbWpHN0dQMXdXRlZ3cWpUdXhWVWlGUUtEVVFMSGp3VldUa05jdEtBdzNFY0YzNXNhQV85ZFJoWkE3WnU0SG00a0h1eEhwWVE0NlQ4cEhubGNSSExMSUtpTEdneWdQWXRzRFNlSV8zcUhkQWZjYVlJRFVUa0d4NFMwd1RkNWlWVnM?oc=5
2026-09-15T04:22:16.000Z,ship_incident,medium,Houthis seize strategic Red Sea islands as analysts warn of impending oil crunch,"The militant group in Yemen captured the islands of Greater and Lesser Hanish, near the chokepoint of the Bab al-Mandab strait Yemen’s Houthi militants have seized two strategic islands in the Red Sea, reinforcing the Iran-backed group’s ability to control a key shipping route,…",,,The Guardian,https://www.theguardian.com/world/2026/sep/15/houthi-rebels-seize-red-sea-hanish-islands-saudi-oil-warning
2026-09-15T04:37:26.000Z,ship_incident,medium,"Oil tanker explodes after colliding with mines in Hormuz, Iran's Fars reports",,,,jpost.com,https://news.google.com/rss/articles/CBMiakFVX3lxTE8wS2VtT1dLdl9EV1ZMaWx0UHJ3NzNES2lBVG5hbFJtZi10QkZKTU02QVdqTU14OHZxcGZNSVlNZEs3ZUVxTk1BVzNscDlIajRtclhDUTJGa2hmc1R3MWxYYnNjUEE3eVBrMUE?oc=5
2026-09-15T04:43:20.000Z,ship_incident,medium,Pentagon rejects Iranian account of Panama tanker incident,,,,NewsNation,https://news.google.com/rss/articles/CBMilAFBVV95cUxOWkR0VnVLanJOb0tRQ3JuWEpET3g0YU5rQzJDb05JYzZLSm9fcmVUeGQ0OWxTbmdtZU5PT1hTaUpJb0Z1bF9oazhIUTFzOGJNUzRIUG53NXBtUE91cC1UdTg0aG9xYi0wVFEzaEVZNHdXaG4tZUxtcGIxc2JWMFpHbktzdktoYUhLZTJNT0lIMkVxRjJp0gGaAUFVX3lxTFBraWhRLVlOT2RtZHRPOU1MTkNqbk40WGV1R29IVEk1R2NONHhMVGpKZlU0N0JUeUV1cFQtdFFmR0Y4eEd0RVBWUHEtNkwwOFd5VmgwUkNiN2VjWnRyemdGekl4NkZPdGdFQ3ZHX0NsV0tucFRHTS1qdmFXX3EyUHNLWkIxOVdGVjVYTlVEcDgxckJsMVhNcVBRRXc?oc=5
2026-09-15T04:49:04.000Z,ship_incident,medium,"Hormuz shipping traffic declines, crude prices climb","TEHRAN, Sep. 15 (MNA) – The number of ships passing through the Strait of Hormuz continued to dwindle in the wake of intensifying attacks in the West Asia region, shipping data showed.",,,Mehr News · Tehran state media,https://en.mehrnews.com/news/247762/Hormuz-shipping-traffic-declines-crude-prices-climb
2026-09-15T05:18:50.000Z,ship_incident,medium,Shipping through Strait of Hormuz falls sharply,,,,Pajhwok Afghan News,https://news.google.com/rss/articles/CBMihgFBVV95cUxPemIyMnd3NXVTS25qcjlfc09mYkxCU2hpS1EySmVLUEJqdDd5ZGl5QldqUEJ5eVR1TzJwenQyQVp4eGNXN1Rlck1HcVFmMW9LTHZnTGtUNXhES0xjMllxVUNLU1RGMXAxN2U4T3pWcFpkSVQ5Ujh6bWdIWGFSNTd3X19WU0o3UQ?oc=5
2026-09-15T05:33:42.000Z,strike,medium,Iran downs another advanced US drone over Strait of Hormuz,"Tehran, IRNA – The Islamic Revolution Guards Corps (IRGC) has announced the interception and downing of yet another advanced MQ-1 drone of the United States over the strategic Strait of Hormuz.",,,IRNA · Tehran state media,https://en.irna.ir/news/86264307/Iran-downs-another-advanced-US-drone-over-Strait-of-Hormuz
2026-09-15T05:44:28.000Z,strike,medium,Hormuz traffic dwindles after Middle East attacks intensify,,,,Reuters,https://news.google.com/rss/articles/CBMiswFBVV95cUxOUTFPRnZDMlUxdmU3RmpseHVGS2laWk4tZU0ySUhOSUdDMGlfQ3loQTBQZktUdW96ck0yNlctUWxVV2NYSHpDclc2YnI4cVFISWZXbjdlM1BDSC1vejJmR2Qtc0NjTTlxLVpxRmZXck5nQU9US1JUalB2cTNZd1Z4Y1Q1QkVQUkEySXNqZUxYV1VWLV8wbVJYTU85X3U0bmk3SXFnNm1uMDQ4TkYwMjV3a3ItZw?oc=5
